id,name,typ,alter,land,position
aa_bk,aalborg bk,2,,daenmark,
aa_gf,aarhus gf,2,,daenmark,
aa_lo,aaron long,1,1992,usa,innenverteidiger
abc_fc,abc fc,2,,brasilien,
ab_di,abdou diallo,1,1996,senegal,innenverteidiger
ac_ma,ac mailand,2,,italien,
ad_st,adam stejskal,1,2002,teschien,torwart
adan,adanaspor,2,,tuerkei,
ad_lo,ademola lookman,1,1997,nigeria,haengende spitze
ad_li,aderlan de lima silva,1,1990,brasilien,rechter verteidiger
ad_wa,admira wacker,2,,oesterreich,
aek,aek athen,2,,griechenland,
ag_sa,ec agua santa,2,,brasilien,
ai_oc,aidan oconnor,1,2001,usa,innenverteidiger
aj_am,ajax amsterdam 2,2,,niederlande,
al_au,aj auxerra,2,,frankreich,
al_ba,alparslan baran,1,2005,oesterreich,defensives mittelfeld
al_te,aleksa terzic,1,1999,serbien,linker verteidiger
al_sc,alexander schlager,1,1996,oesterreich,torwart
al_va,albert vallci,1,1995,oesterreich,innenverteidiger
al_mu,alexander murillo,1,2006,spanien,mittelstuermer
al_so,alexander sorloth,1,1995,norwegen,mittelstuermer
al_pr,alexander prass,1,2001,oesterreich,linker verteidiger
al_barr,alerrando barra mansa realino,1,2000,brasilien,mittelstuermer
al_kha,al khaleej,2,,saudi arabien,
ak_gro,akhmat grozny,2,,russland,
am_ooe,amateure ooe,2,,oesterreich,
am_de,amar dedic,1,2002,bosnien herzegowina,rechter verteidiger
am_fo,amankwah forson,1,2002,ghana,zentrales mittelfeld
am_fc,america fc,2,,brasilien,
am_sh,amos shapiro thompson,1,2000,usa,zentrales mittelfeld
am_ta,amro tarek,1,1992,aegypten,innenverteidiger
an_be,antoine bernede,1,1999,frankreich,zentrales mittelfeld
an_gu,andrew gutman,1,1996,usa,linker verteidiger
ang,angelino,1,1997,spanien,linker verteidiger
an_fe,andrew feitosa (morato),1,1992,brasilien,rechtsaußen
an_ra,andre ramalho,1,1992,brasilien,innenverteidiger
an_sv,antonin svoboda,1,2002,tschechien,mittelstuermer
an_si,andre silva,1,1995,portugal,mittelstuermer
apa,aparecidense,2,,brasilien,
ar_bi,armina bielefeld,2,,deutschland,
ar_gu,artur guimaraes,1,1998,brasilien,rechtsaußen
arou,fc aroucha,2,,portugal,
as_ec,asce mimosas,2,,elfenbeinküste,
as_et,as saint etienne,2,,frankreich,
as_r,as rom,2,,italien,
as_fl,ashley fletcher,1,1995,england,sturm
as_flo,ac florenz,2,,italien,
as_mo,as monaco,2,,frankreich,
ac_go,ac goianiense,2,,brasilien,
atla,atlanta united fc,2,,usa,
ata_ber,atalanta bergamo,2,,italien,
at_par,athletico paraense,2,,brasilien,
atle,atletico mg,2,,brasilien,
av_fc,avai fc,2,,brasilien,
ba_mu,bayern muenchen,2,,deutschland,
ba_mu_u19,bayern meunchen u19,2,,deutschland,
br_aa,bbenden aaronson,1,2000,usa,offensives mittelfeld
ba_to,balazs toth,1,2004,ungarn,torwart
be_kl,ben klefisch,1,2003,deutschland,zentrales mittelfeld
be_at,benjamin atiabou,1,2004,marokko,rechter verteidiger
be_boe,benjamin boeckle,1,2002,oesterreich,linker verteidiger
be_he,benjamin henrichs,1,1997,deutschland,rechter verteidiger
be_do,bernardo,1,1995,brasilien,innenverteidiger
be_se,benjamin sesko,1,2003,slownien,sturm
bl_li,blau weiß linz,2,,oesterreich,
bi_ho,bischofshofen,2,,oesterreich,
bost,boston college eagles,2,,usa,
bo_ju,boca junios,2,,argentinien,
bo_do,bor dortmund,2,,deutschland,
bo_do_2,bor dortmund_2,2,,deutschland,
bo_mg,bor mgladbach,2,,deutschland,
brei,breidablik kopavogur,2,,island,
br_ha,brighton hove albion,2,,england,
br_br,bryan brobbey,1,2002,niederlande,mittelstuermer
br_ok,bryan oko,1,2003,schweiz,innenverteidiger
br_tu,bruno tubarao,1,1995,brasilien,rechtsaußen
br_pa,bruno praxedes,1,2002,brasilien,zentrales mittelfeld
ca_cl,caden clark,1,2003,usa,offensives mittelfeld
ca_co,carlos coronel,1,1996,paraguay,torwart
ca_ed,carlos eduardo,1,1996,brasilien,rechtsaußen
ca_lan,ca lanus,2,,argentinien,
ca_lu,castello lukeba,1,2002,frankreich,innenverteidiger
camb_fc,camboriu fc,2,,brasilien,
ce_ha,cesar haydar,1,2001,kolumbien,innenverteidiger
cese,cesena fc,2,,italien,
csa,centro sportivo alagoano,2,,brasilien,
chic,chicago fire fc,2,,usa,
ch_ba,christoph baumgartner,1,1999,oesterreich,offensives mittelfeld
ch_le,christopher lenz,1,1994,deutschland,linker verteidiger
ch_nk,christopher nkunku,1,1997,frankreich,mittelsturemer
ch_mo,chrigor moraes,1,2000,brasilien,mittelsturemer
cian,cianorte,2,,brasilien,
ci_st,cican stankovic,2,1992,oesterreich,torwart
cinc,fc cincinnati,2,,usa,
cl_br,club bruegge,2,,belgien,
ca_tig,ca tigre,2,,argentinien,
cl_le,claudio leonel,1,1997,brasilien,offensives mittelfeld
cl_na,clube nautico capibaribe,2,,brasilien,
cl_re,clube do remo,2,,brasilien,
colo,colorado rapids,2,,usa,
co_bu,cory burke,1,1991,jamaika,mittelstuermer
co_fc,coritiba fc,2,,brasilien,
cr_ca,cristian casseres jr,1,2000,venezuela,zentrales mittelfeld
cs_bu,csaba bukta,1,2001,ungarn,rechtsaußen
da_af,daavid affengruber,1,2001,oesterreich,innenverteidiger
da_an,daniel antosch,1,2000,oesterreich,torwart
da_bi,dario bijelic ,1,2004,kroatien,rechter verteidiger
da_gu,daouda guindo,1,2002,maili,linker verteidiger
da_je,david jensen,1,1992,daenemark,torwart
